"CASEID","NUMKID86","NUMKID88","NUMKID90","NUMKID92","NUMKID94","NUMKID96","NUMKID98","NUMKID00","NUMKID02","NUMKID04","NUMKID06","NUMKID08","NUMKID10","NUMKID12","NUMKID14"
4074,0,0,0,0,3,3,3,3,3,3,3,3,3,3,-5
4075,0,0,0,0,0,0,-5,0,-5,-5,-5,-5,-5,-5,-5
4076,0,0,0,0,0,0,0,0,0,0,-5,0,0,1,1
4077,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3
4078,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
4079,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2
4080,0,0,-5,-5,-5,1,-5,-5,-5,-5,-5,2,-5,-5,-5
4081,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
4082,3,4,5,5,5,5,5,5,5,-5,-5,-5,6,-5,-5
4083,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
4084,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4086,1,1,1,1,1,1,1,-5,-5,-5,-5,-5,1,1,1
4087,0,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4088,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
4089,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4090,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-5
4091,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4092,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4094,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2
4095,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3
4096,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4098,1,1,1,1,1,1,1,1,1,1,1,1,-5,-5,-5
4099,0,0,0,0,0,1,1,1,1,1,1,1,-5,-5,-5
4100,-5,-5,0,0,0,0,0,0,0,0,0,0,0,-5,0
4101,2,2,4,4,4,4,-5,-5,-5,4,-5,4,4,4,4
4102,0,0,1,1,2,2,2,3,3,3,3,3,3,3,-5
4103,1,2,2,2,-5,2,2,2,2,2,2,2,2,2,2
4104,2,3,3,3,3,3,3,-5,3,3,-5,-5,-5,3,-5
4105,2,-5,2,2,2,2,2,2,2,2,2,2,2,2,2
4106,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
4107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4108,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2
