"CASEID","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1"
233,0,0,0,0,0,0,0,0,0,0,1
234,0,0,-5,1,0,0,0,1,0,0,0
235,0,0,0,0,0,0,1,0,1,0,0
236,0,0,0,0,0,0,0,0,0,0,0
237,0,0,1,1,1,1,1,1,1,1,0
238,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
239,0,1,0,1,0,0,0,0,0,-5,-5
240,0,0,0,0,0,0,0,0,0,0,0
241,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
242,1,0,1,1,0,0,1,0,0,0,0
243,1,0,1,0,0,1,1,0,0,1,0
244,0,0,1,0,0,0,0,0,0,0,1
245,0,0,0,0,0,0,0,0,0,0,0
246,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
247,0,0,0,0,0,1,0,0,1,1,1
248,1,0,1,1,1,1,1,1,0,0,0
249,0,0,0,0,0,0,0,0,0,0,1
250,0,0,0,0,0,0,0,0,0,0,0
251,0,0,1,1,1,1,1,0,0,0,0
252,0,1,0,0,0,0,0,0,0,0,0
253,1,1,0,1,0,0,0,0,0,0,0
254,0,1,1,1,0,0,0,1,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0
256,0,1,1,1,0,0,1,1,1,1,-5
257,1,0,1,1,1,1,0,1,0,0,0
258,0,0,0,0,0,0,0,1,1,1,0
259,0,0,1,1,1,0,0,1,1,1,0
260,0,0,0,0,0,0,0,0,0,0,0
261,1,1,0,0,1,0,0,0,0,0,0
262,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
263,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
264,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
265,0,1,1,0,-5,0,1,0,-5,0,0
266,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
267,-5,-5,-5,-5,-5,0,0,0,0,0,-5
268,-5,1,0,0,0,0,0,1,0,1,-5
269,0,0,0,0,0,0,0,0,0,0,0
270,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
271,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
272,0,0,0,0,0,0,0,0,0,1,-5
273,1,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,1,0,0,0
275,0,0,0,0,0,0,1,0,1,0,1
276,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5
277,0,0,-5,1,0,0,0,0,1,0,-5
278,0,1,0,0,-5,0,-5,-5,-5,-5,-5
279,1,0,0,0,0,0,-5,0,-5,-5,-5
280,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
281,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0
283,0,0,1,1,0,1,1,0,0,0,0
284,1,0,0,0,0,0,1,1,0,1,1
285,1,1,0,1,1,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,-5,-5,-5,-5,-5
288,0,1,1,0,0,0,0,0,-5,-5,-5
289,0,1,0,0,0,0,0,1,-5,0,1
290,0,0,0,0,0,0,0,0,0,0,0
291,0,1,1,0,1,0,1,0,1,0,1
292,1,0,0,1,0,0,0,0,0,0,0
293,0,1,0,1,0,0,0,1,1,0,1
294,-5,-5,0,0,0,0,0,0,0,0,0
295,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
296,1,0,0,0,0,0,-5,0,0,0,0
297,0,1,0,0,1,0,0,0,0,1,0
298,0,-5,-5,-5,-5,-5,-5,-5,1,0,0
299,0,-5,0,0,1,0,0,0,0,0,-5
300,1,-5,-5,0,-5,-5,-5,-5,-5,-5,-5
301,1,0,0,0,0,0,0,0,0,0,0
302,0,1,0,0,0,0,0,0,0,0,0
303,1,0,0,0,0,0,0,1,0,0,0
304,1,0,1,0,0,0,0,0,0,0,0
305,1,0,0,0,0,0,0,0,-5,-5,-5
306,0,0,-5,1,0,1,1,0,-5,0,-5
307,0,0,0,0,0,0,0,0,0,0,1
308,0,0,0,0,0,0,0,1,-5,-5,-5
309,1,0,0,-5,-5,-5,-5,0,0,1,0
310,1,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,1,0,0,0,0,0,0,0
313,0,-5,0,1,0,0,0,0,0,0,0
314,-5,-5,-5,1,-5,-5,1,-5,0,-5,-5
315,0,0,0,0,0,-5,-5,-5,-5,-5,-5
316,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,1,0,0,0,0,0,0,0
318,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
319,1,0,1,0,1,1,0,1,1,0,0
320,0,0,0,0,0,0,0,0,0,0,1
321,0,1,0,0,-5,-5,-5,-5,-5,-5,-5
322,1,0,0,-5,-5,1,0,-5,-5,-5,-5
323,0,-5,-5,0,0,0,0,0,0,0,0
324,0,0,1,1,0,0,0,-5,-5,-5,-5
325,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
326,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
327,0,1,0,0,-5,-5,-5,-5,-5,-5,-5
328,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
329,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
330,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
331,0,1,0,0,0,-5,0,0,0,0,0
332,1,1,0,1,0,0,1,1,0,1,0
333,0,0,0,0,0,0,0,0,0,0,0
