"CASEID","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3"
217,-5,-5,-5,-5,-5,-5,-5,-5
218,-4,-4,-4,-4,-4,-4,-4,-4
219,-4,-4,-4,-4,-4,-4,-4,-4
220,0,-4,-4,-4,-4,-4,-4,-4
221,-4,-4,-4,-4,-4,1,1,-4
222,-4,-4,-4,0,0,0,0,-4
223,-4,0,-4,1,-4,1,-4,0
224,-4,-4,-4,0,-4,-4,-4,-4
225,-5,-5,-5,-5,-5,-5,-5,-5
226,-5,-5,-5,-5,-5,-5,-5,-5
227,-4,-4,-4,-4,-4,-4,-4,-4
228,1,0,-4,-4,-4,-4,-4,-4
229,-4,-4,-4,-4,-4,-4,-4,-4
230,-4,-4,-4,-4,-4,-4,-4,-4
231,-4,-4,-4,-4,-4,-4,-4,1
232,-4,-4,-4,-4,-4,-4,-4,-5
233,-4,-4,-4,-4,-4,-4,-4,-4
234,-4,-4,-5,1,-4,-4,-4,1
235,-4,-4,-4,-4,-4,-4,1,-4
236,-4,-4,-4,-4,-4,-4,-4,-4
237,-4,-4,1,1,1,1,0,0
238,-5,-5,-5,-5,-5,-5,-5,-5
239,-4,0,-4,0,-4,-4,-4,-4
240,-4,-4,-4,-4,-4,-4,-4,-4
241,-5,-5,-5,-5,-5,-5,-5,-5
242,0,-4,1,1,-4,-4,0,-4
243,1,-4,1,-4,-4,1,1,-4
244,-4,-4,0,-4,-4,-4,-4,-4
245,-4,-4,-4,-4,-4,-4,-4,-4
246,-5,-5,-5,-5,-5,-5,-5,-5
247,-4,-4,-4,-4,-4,0,-4,-4
248,0,-4,1,0,0,0,1,0
249,-4,-4,-4,-4,-4,-4,-4,-4
250,-4,-4,-4,-4,-4,-4,-4,-4
251,-4,-4,1,0,1,1,1,-4
252,-4,0,-4,-4,-4,-4,-4,-4
253,0,0,-4,0,-4,-4,-4,-4
254,-4,1,0,0,-4,-4,-4,0
255,-4,-4,-4,-4,-4,-4,-4,-4
256,-4,1,0,1,-4,-4,1,1
257,0,-4,0,0,1,1,-4,1
258,-4,-4,-4,-4,-4,-4,-4,0
259,-4,-4,0,1,0,-4,-4,0
260,-4,-4,-4,-4,-4,-4,-4,-4
261,0,0,-4,-4,0,-4,-4,-4
262,-5,-5,-5,-5,-5,-5,-5,-5
263,-5,-5,-5,-5,-5,-5,-5,-5
264,-5,-5,-5,-5,-5,-5,-5,-5
265,-4,1,0,-4,-5,-4,0,-4
266,-5,-5,-5,-5,-5,-5,-5,-5
267,-5,-5,-5,-5,-5,-4,-4,-4
268,-5,0,-4,-4,-4,-4,-4,0
269,-4,-4,-4,-4,-4,-4,-4,-4
270,-5,-5,-5,-5,-5,-5,-5,-5
271,-5,-5,-5,-5,-5,-5,-5,-5
272,-4,-4,-4,-4,-4,-4,-4,-4
273,0,-4,-4,-4,-4,-4,-4,-4
274,-4,-4,-4,-4,-4,-4,-4,0
275,-4,-4,-4,-4,-4,-4,0,-4
276,-4,-4,-5,-5,-5,-5,-5,-5
277,-4,-4,-5,0,-4,-4,-4,-4
278,-4,1,-4,-4,-5,-4,-5,-5
279,0,-4,-4,-4,-4,-4,-5,-4
280,-5,-5,-5,-5,-5,-5,-5,-5
281,-4,-4,-4,-4,-4,-4,-4,-4
282,-4,-4,-4,-4,-4,-4,-4,-4
283,-4,-4,0,0,-4,0,0,-4
284,0,-4,-4,-4,-4,-4,1,0
285,1,0,-4,1,0,-4,-4,-4
286,-4,-4,-4,-4,-4,-4,-4,-4
287,-4,-4,-4,-4,-4,-4,-5,-5
288,-4,1,0,-4,-4,-4,-4,-4
289,-4,0,-4,-4,-4,-4,-4,0
290,-4,-4,-4,-4,-4,-4,-4,-4
291,-4,0,0,-4,0,-4,0,-4
292,0,-4,-4,0,-4,-4,-4,-4
293,-4,0,-4,0,-4,-4,-4,1
294,-5,-5,-4,-4,-4,-4,-4,-4
295,-5,-5,-5,-5,-5,-5,-5,-5
296,0,-4,-4,-4,-4,-4,-5,-4
297,-4,1,-4,-4,1,-4,-4,-4
298,-4,-5,-5,-5,-5,-5,-5,-5
299,-4,-5,-4,-4,0,-4,-4,-4
300,0,-5,-5,-4,-5,-5,-5,-5
301,0,-4,-4,-4,-4,-4,-4,-4
302,-4,0,-4,-4,-4,-4,-4,-4
303,0,-4,-4,-4,-4,-4,-4,0
304,0,-4,0,-4,-4,-4,-4,-4
305,1,-4,-4,-4,-4,-4,-4,-4
306,-4,-4,-5,0,-4,0,0,-4
307,-4,-4,-4,-4,-4,-4,-4,-4
308,-4,-4,-4,-4,-4,-4,-4,1
309,1,-4,-4,-5,-5,-5,-5,-4
310,0,-4,-4,-4,-4,-4,-4,-4
311,-4,-4,-4,-4,-4,-4,-4,-4
312,-4,-4,-4,0,-4,-4,-4,-4
313,-4,-5,-4,0,-4,-4,-4,-4
314,-5,-5,-5,0,-5,-5,0,-5
315,-4,-4,-4,-4,-4,-5,-5,-5
316,-4,-4,-4,-4,-4,-4,-4,-4
317,-4,-4,-4,0,-4,-4,-4,-4
318,-4,0,-5,-5,-5,-5,-5,-5
319,0,-4,1,-4,1,0,-4,0
320,-4,-4,-4,-4,-4,-4,-4,-4
321,-4,0,-4,-4,-5,-5,-5,-5
322,0,-4,-4,-5,-5,0,-4,-5
323,-4,-5,-5,-4,-4,-4,-4,-4
324,-4,-4,0,1,-4,-4,-4,-5
325,-5,-5,-5,-5,-5,-5,-5,-5
326,-5,-5,-5,-5,-5,-5,-5,-5
327,-4,1,-4,-4,-5,-5,-5,-5
328,-5,-5,-5,-5,-5,-5,-5,-5
329,-5,-5,-5,-5,-5,-5,-5,-5
330,-5,-5,-5,-5,-5,-5,-5,-5
331,-4,0,-4,-4,-4,-5,-4,-4
332,0,0,-4,1,-4,-4,0,0
333,-4,-4,-4,-4,-4,-4,-4,-4
334,-5,-5,-5,-5,-5,-5,-5,-5
335,-4,1,1,-4,-4,-4,-4,-4
336,0,1,-5,-5,1,1,0,1
337,-4,-4,0,-4,-4,0,0,-4
338,-4,-4,-4,1,-4,-4,-5,-5
339,0,0,0,1,-4,-4,0,0
340,0,0,-5,-4,-4,-4,-4,-4
341,-5,-5,-5,1,-4,-5,-5,-5
342,1,-4,-4,-4,-4,-4,-4,-4
343,0,-4,-4,0,-5,0,-4,-4
344,-4,0,-4,-4,-4,-4,-4,-5
345,-5,-5,-5,-5,-5,-5,-5,-5
346,-4,-4,-4,0,-4,-4,-4,-4
347,-4,0,-4,-5,-5,-5,-5,-4
348,1,-4,0,1,-4,-4,-5,-5
349,-4,-4,-4,-5,-5,-5,-5,-5
350,0,0,-4,-4,-4,-4,-4,0
351,0,-4,0,-4,-4,1,-4,-5
352,-4,-4,-4,-4,-4,-4,-4,1
353,0,-4,-5,-5,-5,-5,-5,-5
354,-4,-4,-4,-4,-4,-4,-4,-4
355,-4,-4,-4,-4,-4,-4,-4,-4
356,0,0,1,-4,-4,-4,-4,-4
357,0,-4,-4,-4,-4,-4,-4,-4
358,-4,-4,-4,-4,-4,-4,-4,-4
359,1,1,-4,0,-4,-5,-5,-5
360,0,-4,1,-4,-4,-4,-4,-4
361,0,-5,-5,-5,-5,-5,-5,-5
362,-4,-4,-4,-4,-4,-4,-4,-4
363,-4,-4,-4,-4,0,1,1,1
364,-4,1,-4,-4,-4,-4,-4,1
365,0,-4,1,0,-4,-4,-4,-4
366,-5,-5,-5,-5,-5,-5,-5,-5
367,1,-4,-4,-4,-4,-4,-4,-4
368,0,-4,-4,-5,-4,1,-4,1
369,-4,-4,-4,0,-4,-4,-4,-4
370,-4,-4,-4,-4,-4,-4,-4,-4
371,-5,-5,-5,-5,-5,-5,-5,-5
372,-4,-4,-4,-4,-4,-4,-4,-4
373,0,1,0,1,0,0,0,0
374,-4,-4,1,-5,-5,-5,-5,-5
375,1,0,-4,1,1,-4,-5,0
376,-4,-4,-4,-4,-4,-4,-4,-4
377,-4,-4,0,-4,1,0,0,-5
378,-4,-4,0,-4,0,1,1,0
379,-5,0,0,-4,1,-4,0,-4
380,1,-4,-4,-4,-4,-4,-4,-4
381,-4,-4,-4,-4,-4,-4,-4,-4
382,-5,0,-4,-4,-4,-4,-4,-4
383,-5,-5,-5,-5,-5,-5,-5,-5
384,-5,-5,-5,-5,-5,-5,-5,-5
385,-4,-4,0,0,-4,-4,-4,-4
386,-4,-4,1,1,1,-4,1,-4
387,-4,0,0,-4,-4,-4,-4,-4
388,-4,-4,-4,0,1,-4,-4,-4
389,-5,-5,-5,-5,-5,-5,-5,-5
390,0,0,-5,-5,-5,-5,-5,-5
391,0,-5,0,0,-4,-4,-4,-4
