"CPUBID","MPUBID","BKGN-20","BKGN-20","BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20","MS-BKGN-20"
23102,231,3,3,3,3,-7,-7,-7,-7
23601,236,1,1,-7,-7,-7,-7,-7,-7
23602,236,1,1,1,-7,-7,-7,-7,-7
23603,236,1,1,1,1,1,-7,-7,-7
23701,237,-7,-7,-7,-7,-7,-7,-7,-7
23901,239,-7,-7,-7,-7,-7,-7,-7,-7
23902,239,-7,-7,-7,-7,-7,-7,-7,-7
23903,239,-7,-7,-7,-7,-7,-7,-7,-7
24001,240,-7,-7,-7,-7,-7,-7,-7,-7
24002,240,1,-7,-7,-7,-7,-7,-7,-7
24201,242,1,-7,-7,-7,-7,-7,-7,-7
24401,244,-7,-7,-7,-7,-7,-7,-7,-7
24402,244,-7,-7,-7,-7,-7,-7,-7,-7
24403,244,1,1,1,-7,-7,-7,-7,-7
24501,245,1,1,1,1,-7,-7,-7,-7
24502,245,-7,1,1,1,1,1,-7,-7
24503,245,-7,-7,-7,1,1,1,1,-7
24901,249,-7,-7,-7,-7,-7,-7,-7,-7
24902,249,-7,-7,-7,-7,-7,-7,-7,-7
24903,249,1,1,1,1,-7,-7,-7,-7
24904,249,-7,-7,-7,-7,1,1,1,1
25001,250,-7,-7,-7,-7,-7,-7,-7,-7
25002,250,1,-7,-7,-7,-7,-7,-7,-7
25201,252,-7,-7,-7,-7,-7,-7,-7,-7
25202,252,1,1,1,-7,-7,-7,-7,-7
25401,254,-7,-7,-7,-7,-7,-7,-7,-7
25402,254,-7,-7,-7,-7,-7,-7,-7,-7
25403,254,1,1,-7,-7,-7,-7,-7,-7
25404,254,1,1,1,1,1,-7,-7,-7
25405,254,-7,1,1,1,1,-7,-7,-7
25501,255,-7,-7,-7,-7,-7,-7,-7,-7
25502,255,-7,-7,-7,-7,-7,-7,-7,-7
25503,255,3,-7,-7,-7,-7,-7,-7,-7
25504,255,3,1,1,-7,-7,-7,-7,-7
25505,255,-7,-7,1,1,1,1,-7,-7
25601,256,-7,-7,-7,-7,-7,-7,-7,-7
25602,256,-7,-7,-7,-7,1,4,1,1
25801,258,-7,-7,-7,-7,-7,-7,-7,-7
