,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH
6084,630701,6307,3,1,1,1975,100,1986,49,47,36,82,12,39,87,19,96.7,42,83.3,13,-0.3,-3,135
6101,631302,6313,2,2,11,1978,101,1986,52,25,21,98,44,25,102,56,-0.3,-3,-0.3,-3,-0.3,-3,89
6110,632202,6322,2,1,4,1980,74,1986,4,8,28,131,98,22,114,82,-0.3,-3,-0.3,-3,-0.3,-3,71
6116,632701,6327,2,2,1,1978,95,1986,37,26,34,108,70,24,92,29,-0.3,-3,-0.3,-3,-0.3,-3,98
6168,635801,6358,2,2,12,1980,116,1986,85,16,18,125,95,18,125,95,-0.3,-3,-0.3,-3,-0.3,-3,62
6216,637501,6375,2,2,3,1979,103,1986,57,22,23,108,70,25,109,72,101.9,55,-0.3,-3,98.2,45,82
6231,638401,6384,2,2,7,1979,101,1986,53,18,26,115,84,33,122,93,92.9,32,-0.3,-3,91.4,27,78
6419,658702,6587,2,1,1,1978,89,1986,23,24,45,119,90,50,121,92,96.2,39,87.4,19,-0.3,-3,99
6527,667101,6671,2,1,2,1980,91,1986,28,12,18,107,68,18,105,64,-0.3,-3,-0.3,-3,-0.3,-3,73
6613,675701,6757,2,1,2,1981,112,1986,79,15,18,125,95,18,125,95,106.8,68,-0.3,-3,-0.3,-3,63
6657,682501,6825,1,2,7,1976,107,1986,67,46,54,120,91,61,125,95,81.8,12,-0.3,-3,92.3,30,117
6662,682802,6828,1,2,1,1974,75,1986,5,14,25,65,1,23,65,1,113.6,82,101.3,53,-0.3,-3,147
6676,684501,6845,2,2,4,1980,95,1986,37,13,18,107,68,18,105,64,97.6,45,-0.3,-3,111.9,79,73
6751,694302,6943,3,1,12,1977,98,1986,45,31,40,111,77,43,113,81,94.3,34,111.7,79,-0.3,-3,99
6819,701501,7015,3,2,5,1975,88,1986,22,41,40,91,28,41,92,29,106.7,68,-0.3,-3,-0.3,-3,130
6908,709401,7094,2,1,11,1974,75,1986,5,33,26,72,3,25,69,2,84.3,14,101.3,53,-0.3,-3,136
6924,711602,7116,2,1,3,1980,95,1986,37,13,18,107,68,18,105,64,-0.3,-3,-0.3,-3,-0.3,-3,71
6931,712401,7124,2,1,2,1975,83,1986,13,39,54,112,79,42,92,29,101.1,53,95.3,37,-0.3,-3,132
6988,717001,7170,2,2,2,1977,113,1986,81,47,47,115,84,44,108,71,82.3,12,-0.3,-3,72.7,4,107
7037,721701,7217,2,2,7,1977,111,1986,76,44,25,87,19,28,91,27,78.4,7,81.4,10,-0.3,-3,103
7054,723201,7232,2,1,5,1980,106,1986,65,17,18,107,68,18,105,64,86.3,18,-0.3,-3,-0.3,-3,70
7126,730201,7302,2,2,4,1979,107,1986,67,27,33,117,87,27,109,72,-0.3,-3,-0.3,-3,-0.3,-3,83
7180,735201,7352,3,2,7,1975,93,1986,33,43,50,107,68,70,126,96,119.6,91,-0.3,-3,108.0,70,130
7265,744202,7442,2,1,2,1974,95,1986,37,46,49,98,46,44,89,24,86.7,19,-0.3,-3,87.9,21,145
7274,744702,7447,2,2,2,1976,92,1986,30,40,43,102,54,55,116,86,86.3,18,77.4,6,-0.3,-3,122
7408,754801,7548,2,2,3,1978,82,1986,11,16,21,88,21,21,82,11,74.2,4,69.2,2,-0.3,-3,97
7465,762202,7622,2,2,5,1979,103,1986,57,22,23,108,70,28,114,82,96.1,39,-0.3,-3,-0.3,-3,82
7478,764501,7645,2,2,4,1980,86,1986,17,10,18,114,82,18,113,80,94.2,34,-0.3,-3,100.6,53,71
7481,764601,7646,2,1,7,1972,75,1986,5,39,29,72,3,35,74,4,92.7,32,-0.3,-3,108.0,70,164
7517,768102,7681,2,2,11,1976,98,1986,45,40,43,107,68,51,116,85,-0.3,-3,-0.3,-3,-0.3,-3,111
7547,771002,7710,2,1,6,1980,95,1986,36,12,18,114,82,18,113,80,85.1,16,77.7,7,-0.3,-3,70
7586,778101,7781,3,1,8,1979,118,1986,88,31,29,119,90,28,117,87,117.9,88,-0.3,-3,125.5,96,79
7627,781801,7818,2,2,12,1972,86,1986,18,44,42,84,15,46,88,21,129.2,97,-0.3,-3,121.4,92,159
7680,786401,7864,1,1,7,1980,98,1986,44,12,18,122,93,18,121,92,75.9,5,-0.3,-3,100.6,53,66
7697,788201,7882,1,2,3,1975,97,1986,43,45,26,72,3,27,75,5,109.2,73,-0.3,-3,108.0,70,131
7724,790101,7901,3,1,11,1980,96,1986,39,11,18,125,95,18,125,95,85.1,16,-0.3,-3,70.7,3,63
7752,792201,7922,3,1,10,1979,106,1986,65,19,25,119,90,27,121,92,110.1,75,-0.3,-3,-0.3,-3,77
