,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH
4835,509801,5098,3,2,2,1980,98,1986,46,15,-3,-3,-3,20,104,60,118.7,90,111.8,79,118.7,90,74
4836,509802,5098,3,1,2,1980,81,1986,10,10,-3,-3,-3,19,102,56,122.6,94,117.6,88,118.7,90,74
4840,510001,5100,3,2,12,1979,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,103.1,58,106.0,66,98.2,45,75
4870,511901,5119,2,1,3,1980,113,1986,80,21,-3,-3,-3,24,120,91,91.4,27,94.4,34,91.4,27,72
4879,512502,5125,3,2,2,1980,125,1986,95,28,-3,-3,-3,20,109,72,107.0,68,100.2,50,111.9,79,73
4984,526401,5264,3,1,9,1980,109,1986,73,15,-3,-3,-3,23,135,99,104.2,61,105.5,66,100.6,53,66
4995,527301,5273,3,1,3,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,95.1,37,104.8,63,84.6,16,59
5045,531101,5311,3,1,6,1974,95,1986,36,45,-3,-3,-3,-3,-3,-3,110.4,75,101.3,53,114.7,84,143
5166,543401,5434,3,1,10,1978,86,1986,18,16,-3,-3,-3,22,91,28,110.4,75,98.0,45,118.1,88,89
5188,546001,5460,2,2,7,1978,103,1986,59,31,-3,-3,-3,-3,-3,-3,106.5,68,110.7,77,98.6,47,92
5229,548803,5488,3,2,4,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,99.4,47,92.0,30,108.5,73,58
5433,572001,5720,1,2,6,1977,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,92.0,30,99.6,50,86.1,18,105
5452,574002,5740,1,2,11,1979,101,1986,52,16,-3,-3,-3,41,135,99,71.9,3,82.8,13,70.8,3,77
5507,579601,5796,1,1,7,1975,-3,1986,-3,-3,47,103,59,59,118,88,86.3,18,83.3,13,94.6,37,128
5519,580301,5803,1,2,7,1980,119,1986,90,19,-3,-3,-3,-3,-3,-3,99.9,50,84.7,16,115.6,86,67
5558,583602,5836,1,1,1,1978,107,1986,69,30,-3,-3,-3,33,113,80,106.5,68,117.1,87,92.0,30,98
5673,594701,5947,1,1,4,1979,69,1986,2,9,-3,-3,-3,-3,-3,-3,83.0,13,85.2,16,85.5,18,84
5678,594802,5948,1,2,9,1980,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,73.8,4,77.7,7,78.2,7,65
5679,595101,5951,2,1,10,1979,105,1986,62,21,-3,-3,-3,21,102,55,99.2,47,94.4,34,105.0,63,78
5684,595201,5952,2,2,11,1979,89,1986,23,12,-3,-3,-3,21,106,65,83.6,14,94.4,34,77.7,7,77
5698,596503,5965,2,1,5,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,99.4,47,98.4,45,100.5,53,59
5780,604601,6046,2,2,3,1978,86,1986,17,19,-3,-3,-3,21,82,11,57.2,0,69.2,2,59.3,0,96
5791,604801,6048,2,1,11,1973,96,1986,40,48,-3,-3,-3,-3,-3,-3,90.3,25,101.3,53,81.2,10,148
5792,604802,6048,2,1,7,1979,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,83.6,14,100.2,50,70.8,3,80
5844,610101,6101,2,1,9,1978,89,1986,23,18,-3,-3,-3,28,104,61,75.2,5,98.0,45,59.4,0,90
5845,610102,6101,2,2,7,1980,-3,1986,-3,-3,18,114,82,18,113,80,52.0,0,56.9,0,63.2,1,69
5867,612901,6129,2,1,1,1979,100,1986,49,22,-3,-3,-3,27,109,72,106.5,68,91.6,30,118.1,88,86
5912,617801,6178,2,1,5,1978,91,1986,27,21,-3,-3,-3,29,103,58,94.8,37,91.6,30,98.6,47,94
5921,618901,6189,3,1,7,1979,98,1986,45,16,-3,-3,-3,-3,-3,-3,103.1,58,111.8,79,91.4,27,79
6031,628001,6280,2,1,2,1973,104,1986,61,57,-3,-3,-3,37,79,8,70.2,2,65.4,1,87.9,21,156
6033,628003,6280,2,1,4,1976,82,1986,12,31,-3,-3,-3,22,69,2,70.2,2,77.4,6,74.5,5,119
6068,629401,6294,2,1,2,1977,106,1986,65,43,-3,-3,-3,67,135,99,68.1,2,87.2,19,60.5,0,109
6075,629601,6296,2,1,4,1980,110,1986,74,17,-3,-3,-3,21,119,90,78.1,7,84.7,16,78.2,7,70
6090,631001,6310,2,1,10,1976,83,1986,13,28,-3,-3,-3,30,87,20,72.0,3,80.6,10,73.2,4,114
6091,631002,6310,2,1,4,1979,-3,1986,-3,-3,-3,-3,-3,20,93,33,75.2,5,78.8,8,79.0,8,85
6102,631501,6315,2,1,12,1977,93,1986,33,25,-3,-3,-3,26,96,39,64.9,1,75.3,5,66.0,1,97
6135,633701,6337,2,1,2,1976,105,1986,63,46,-3,-3,-3,-3,-3,-3,70.2,2,83.3,13,67.9,2,120
6158,634901,6349,3,2,9,1978,113,1986,80,38,-3,-3,-3,44,120,91,106.5,68,117.1,87,92.0,30,90
6196,637001,6370,2,2,9,1976,104,1986,60,44,-3,-3,-3,-3,-3,-3,79.9,9,80.6,10,85.9,18,114
6199,637101,6371,2,1,2,1979,-3,1986,-3,-3,43,125,95,28,110,75,67.4,1,59.7,0,85.5,18,84
6210,637201,6372,2,1,7,1979,-3,1986,-3,-3,-3,-3,-3,30,119,90,60.2,0,65.3,1,70.8,3,79
6299,644501,6445,2,1,2,1981,81,1986,10,8,-3,-3,-3,-3,-3,-3,108.6,73,98.6,47,115.6,86,61
6340,648701,6487,3,1,4,1976,-3,1986,-3,-3,46,106,65,44,101,53,95.5,39,93.7,34,98.7,47,119
6345,651201,6512,3,2,11,1976,128,1986,97,59,-3,-3,-3,58,125,95,123.0,94,133.0,99,105.0,63,113
6359,652101,6521,3,2,11,1979,113,1986,80,24,-3,-3,-3,-3,-3,-3,103.1,58,88.6,23,118.7,90,75
6362,652201,6522,3,2,12,1978,-3,1986,-3,-3,21,101,52,23,101,52,90.9,27,91.6,30,92.0,30,85
6434,660401,6604,2,2,6,1979,100,1986,49,19,-3,-3,-3,21,99,47,110.9,77,117.6,88,98.2,45,83
6488,664201,6642,2,1,10,1974,89,1986,24,43,-3,-3,-3,-3,-3,-3,90.3,25,107.2,68,74.5,5,139
6489,664202,6642,2,1,9,1978,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,83.0,13,85.2,16,85.5,18,92
6508,665801,6658,1,2,10,1977,77,1986,6,17,-3,-3,-3,20,74,4,80.4,9,93.5,34,72.7,4,101
6511,665901,6659,1,2,8,1979,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,79.7,9,94.4,34,70.8,3,81
6548,668501,6685,3,2,8,1980,-3,1986,-3,-3,18,122,93,18,121,92,104.2,61,112.5,81,93.1,32,68
6622,677201,6772,1,1,2,1979,78,1986,7,11,-3,-3,-3,21,95,38,133.9,99,129.8,98,124.7,95,85
6639,678701,6787,1,1,1,1975,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,82.3,12,65.4,1,108.0,70,134
6640,678702,6787,1,1,8,1976,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,79.9,9,61.0,0,105.0,63,115
6641,678703,6787,1,1,11,1978,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,79.1,8,59.7,0,105.1,63,88
6648,680701,6807,1,2,3,1980,96,1986,39,14,-3,-3,-3,20,104,60,103.1,58,82.8,13,125.5,96,75
6804,699501,6995,2,2,11,1977,90,1986,26,25,-3,-3,-3,-3,-3,-3,107.4,68,87.4,19,126.3,96,100
6847,704502,7045,3,2,2,1978,104,1986,60,34,-3,-3,-3,37,110,75,107.4,68,93.5,34,119.6,91,98
6940,712801,7128,2,1,8,1979,104,1986,60,20,-3,-3,-3,-3,-3,-3,103.1,58,111.8,79,91.4,27,78
6968,715701,7157,2,1,2,1976,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,86.3,18,77.4,6,101.3,53,120
6976,716301,7163,2,1,12,1978,108,1986,70,28,-3,-3,-3,35,118,89,106.5,68,104.3,61,105.1,63,86
6984,716901,7169,3,2,7,1974,82,1986,12,40,-3,-3,-3,-3,-3,-3,82.3,12,83.3,13,87.9,21,140
6985,716902,7169,3,1,1,1976,89,1986,24,38,-3,-3,-3,47,105,62,98.3,45,83.3,13,114.7,84,122
7014,719201,7192,2,2,9,1977,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,92.0,30,75.3,5,112.9,81,102
7017,719701,7197,2,2,6,1978,90,1986,25,20,-3,-3,-3,25,97,41,90.9,27,104.3,61,79.0,8,95
7026,720703,7207,1,1,11,1980,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,95.5,39,84.7,16,108.1,70,66
7080,725501,7255,2,1,8,1980,98,1986,44,12,-3,-3,-3,19,126,96,91.2,27,77.7,7,108.1,70,66
7081,725601,7256,2,1,5,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,86.6,19,79.2,8,100.5,53,58
7322,747002,7470,2,2,1,1981,77,1986,6,7,-3,-3,-3,-3,-3,-3,91.2,27,84.7,16,100.6,53,63
7407,754302,7543,3,1,4,1978,-3,1986,-3,-3,21,91,28,22,88,22,106.5,68,104.3,61,105.1,63,94
7459,761801,7618,2,1,9,1980,102,1986,55,14,-3,-3,-3,-3,-3,-3,91.2,27,84.7,16,100.6,53,69
7485,764802,7648,2,1,12,1976,102,1986,54,42,-3,-3,-3,36,97,41,91.6,30,87.2,19,98.7,47,111
7488,764901,7649,2,2,4,1975,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,94.3,34,107.2,68,81.2,10,132
7495,765701,7657,2,1,1,1976,107,1986,67,47,-3,-3,-3,55,116,86,78.3,7,83.3,13,81.2,10,121
7656,783201,7832,1,1,4,1980,105,1986,63,15,-3,-3,-3,38,93,31,99.9,50,98.6,47,100.6,53,69
7709,789101,7891,1,2,4,1981,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,103.7,61,104.8,63,100.5,53,58
7733,791101,7911,3,2,6,1976,80,1986,9,27,-3,-3,-3,50,111,76,95.5,39,100.3,50,92.3,30,116
7750,792102,7921,2,1,9,1978,98,1986,46,25,-3,-3,-3,36,114,82,110.4,75,104.3,61,111.6,79,91
7771,793802,7938,2,1,7,1979,103,1986,57,22,-3,-3,-3,23,104,60,75.8,5,88.6,23,70.8,3,81
7868,802801,8028,2,2,1,1974,106,1986,66,56,-3,-3,-3,69,116,86,94.3,34,95.3,37,94.6,37,147
7915,805901,8059,1,2,2,1978,96,1986,40,27,-3,-3,-3,22,85,16,103.6,61,87.4,19,119.6,91,98
7960,810901,8109,1,1,8,1978,88,1986,21,17,-3,-3,-3,21,88,21,98.7,47,98.0,45,98.6,47,91
8033,818003,8180,1,2,10,1978,97,1986,42,24,-3,-3,-3,20,85,16,79.1,8,72.5,4,92.0,30,91
8056,820201,8202,1,2,3,1979,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,110.4,75,98.0,45,118.1,88,86
8057,820202,8202,1,1,1,1980,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,103.1,58,94.4,34,111.9,79,76
8108,826401,8264,1,2,6,1979,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,71.9,3,71.1,3,84.5,16,80
8133,828301,8283,1,2,12,1977,75,1986,5,14,-3,-3,-3,21,79,8,76.5,6,99.6,50,59.3,0,100
8134,828302,8283,1,2,8,1979,105,1986,64,22,-3,-3,-3,21,102,55,79.7,9,106.0,66,57.2,0,79
8171,830502,8305,1,2,4,1980,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,79.7,9,71.1,3,98.2,45,73
8197,831203,8312,3,2,10,1978,98,1986,46,25,-3,-3,-3,21,88,21,94.8,37,104.3,61,85.5,18,90
8228,834002,8340,1,1,3,1977,113,1986,81,47,-3,-3,-3,-3,-3,-3,103.4,58,93.7,34,111.4,77,109
8306,840101,8401,1,2,1,1976,-3,1986,-3,-3,47,107,69,55,116,86,102.3,55,83.3,13,121.4,92,121
8312,840701,8407,1,2,3,1977,96,1986,39,34,-3,-3,-3,39,105,63,111.3,77,105.6,66,112.9,81,107
8338,842901,8429,3,1,6,1977,109,1986,72,43,-3,-3,-3,23,80,9,111.3,77,117.8,88,99.5,50,105
8344,843401,8434,2,1,12,1978,114,1986,83,37,-3,-3,-3,41,120,91,106.5,68,110.7,77,98.6,47,87
8359,845701,8457,3,1,10,1978,102,1986,56,26,-3,-3,-3,37,117,87,79.1,8,78.8,8,85.5,18,89
8495,860001,8600,2,2,3,1978,-3,1986,-3,-3,-3,-3,-3,29,97,43,92.0,30,87.4,19,99.5,50,98
8515,861802,8618,2,2,12,1980,-3,1986,-3,-3,-3,-3,-3,-3,-3,-3,69.4,2,56.9,0,93.1,32,63
8539,864101,8641,2,2,8,1976,-3,1986,-3,-3,48,113,80,46,107,68,72.0,3,80.6,10,73.2,4,116
