,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,MOVED,NUM_CHILDREN,STYPE
170,65001,650,3,1,4,1992,99,2000,47,29,22,91,27,30,102,55,111.4,77,114.2,82,103.5,58,98,80,83000.0,0,0,2,1
178,66401,664,3,2,4,1988,112,2000,79,62,58,109,72,71,118,89,110.9,77,112.9,81,104.4,61,146,51,95300.0,0,0,2,1
179,66402,664,3,2,6,1993,98,2000,44,20,27,109,73,34,118,88,114.2,82,120.3,91,100.2,50,85,51,96750.0,0,0,2,1
180,68802,688,3,2,12,1989,118,2000,89,57,48,105,64,44,98,44,89.2,23,99.3,47,79.5,8,126,35,28000.0,0,0,2,1
183,71202,712,3,1,5,1986,105,2000,64,63,49,89,24,44,82,11,106.6,68,106.1,66,104.4,61,170,81,95000.0,0,0,2,1
184,71302,713,3,2,8,1988,100,2000,51,49,72,123,94,75,125,95,87.9,21,112.9,81,58.7,0,141,15,14824.0,0,0,2,1
185,72402,724,3,1,4,1988,100,2000,50,51,52,101,53,74,121,92,97.9,45,112.9,81,79.5,8,149,77,22984.0,0,0,2,1
186,73602,736,3,1,10,1987,112,2000,78,63,74,123,94,81,135,99,92.2,30,99.3,47,85.3,16,153,19,86000.0,0,0,2,1
187,74302,743,3,2,5,1992,93,2000,33,27,29,100,50,31,100,51,98.7,47,100.6,53,94.7,37,98,82,81000.0,1,0,2,1
188,74601,746,3,1,10,1987,113,2000,80,64,43,86,18,44,86,18,106.6,68,112.9,81,96.1,39,155,68,60020.0,0,0,2,1
189,74602,746,3,1,7,1990,116,2000,86,53,48,109,72,42,99,47,106.6,68,112.9,81,96.1,39,122,68,60020.0,0,0,2,1
190,75503,755,1,2,12,1990,120,2000,91,55,49,113,80,43,102,54,106.3,66,101.4,53,110.0,75,118,46,69000.0,0,0,3,1
193,75702,757,2,1,2,1994,112,2000,78,26,22,109,73,33,122,93,104.7,63,111.4,77,94.0,34,79,27,36408.0,0,0,2,1
195,76802,768,3,1,9,1987,105,2000,63,57,64,111,77,58,103,57,89.2,23,72.2,3,112.7,81,154,66,108000.0,0,0,4,1
196,76803,768,3,2,7,1989,82,2000,11,38,38,87,19,45,95,37,89.2,23,78.9,8,104.4,61,133,66,108000.0,0,0,4,1
200,79203,792,3,1,5,1989,106,2000,66,51,42,91,28,45,94,34,124.0,95,119.6,91,121.0,92,134,26,67200.0,0,0,4,1
206,81101,811,3,2,4,1993,120,2000,91,40,50,135,99,50,131,98,104.6,63,98.7,47,109.5,75,85,67,51695.0,0,0,1,1
