CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,NUM_CHILDREN
228701,2287.0,3.0,2.0,8.0,1992.0,115.25,2003.0,81.75,57.25,61.5,119.75,88.5,70.25,129.0,96.25,116.6,85.25,117.825,88.0,108.25,69.75,130.25,89.0,98375.0,0.0,3.0
228702,2287.0,3.0,2.0,8.0,1994.0,112.0,2005.0,77.75,54.75,55.25,113.5,78.75,67.0,124.25,94.5,112.95,77.25,116.7,86.0,103.925,60.25,130.25,89.0,113500.0,0.0,3.0
228703,2287.0,3.0,1.0,11.0,1996.0,117.0,2006.0,87.0,52.666666666666664,54.333333333333336,119.33333333333333,89.66666666666667,62.666666666666664,125.0,92.66666666666667,112.7,80.33333333333333,110.63333333333333,75.66666666666667,110.23333333333333,74.33333333333333,114.66666666666667,89.0,120666.66666666667,0.0,3.0
228801,2288.0,3.0,1.0,4.0,1997.0,107.0,2006.6666666666667,67.0,46.666666666666664,55.0,118.0,82.0,58.333333333333336,121.66666666666667,92.66666666666667,99.66666666666667,49.333333333333336,100.8,50.666666666666664,97.16666666666667,43.333333333333336,121.0,59.0,79054.0,0.0,2.0
228802,2288.0,3.0,1.0,1.0,1999.0,79.0,2009.3333333333333,8.333333333333334,31.0,42.666666666666664,99.0,47.333333333333336,48.0,103.0,57.666666666666664,91.3,28.0,90.03333333333335,27.0,93.23333333333333,35.0,134.0,59.0,83369.33333333333,0.0,2.0
228901,2289.0,3.0,1.0,9.0,1989.0,109.5,2000.0,72.5,53.0,47.0,104.5,58.0,53.0,108.0,69.5,105.2,60.5,104.25,59.5,103.65,59.0,130.5,49.0,21800.0,0.5,1.0
229001,2290.0,3.0,2.0,6.0,1990.0,115.5,1999.0,83.0,45.0,35.25,104.0,58.5,41.25,110.5,73.5,104.725,60.25,108.3,69.75,98.05,45.0,107.5,91.0,93125.0,0.0,2.0
229002,2290.0,3.0,1.0,2.0,1994.0,126.33333333333333,2002.6666666666667,95.0,53.0,41.666666666666664,112.0,77.66666666666667,50.666666666666664,122.66666666666667,90.33333333333333,106.53333333333335,65.33333333333333,110.96666666666665,74.66666666666667,97.96666666666665,46.666666666666664,107.0,91.0,94533.33333333333,0.0,2.0
229201,2292.0,3.0,1.0,4.0,1994.0,115.5,2001.0,82.5,36.5,30.0,107.5,69.0,40.5,120.5,86.0,115.6,83.0,114.55,82.5,111.45,74.5,87.5,74.0,,0.0,3.0
229202,2292.0,3.0,2.0,7.0,1996.0,113.0,2002.0,80.0,21.0,40.0,135.0,99.0,21.0,110.0,75.0,101.7,55.0,103.9,61.0,98.3,45.0,71.0,74.0,,0.0,3.0
229401,2294.0,3.0,2.0,1.0,1989.0,82.0,1996.0,18.0,15.666666666666666,23.666666666666668,103.66666666666667,55.0,24.333333333333332,99.66666666666667,47.0,103.7,59.666666666666664,105.0,64.0,100.23333333333333,50.333333333333336,90.0,59.0,48075.0,0.0,1.6666666666666667
229402,2294.0,3.0,1.0,7.0,1994.0,118.0,2006.0,88.0,64.0,36.0,81.0,10.0,64.0,112.0,78.0,106.1,66.0,103.1,58.0,106.1,66.0,141.0,59.0,110500.0,0.0,2.0
229601,2296.0,3.0,1.0,8.0,1995.0,129.0,2004.0,96.5,58.5,39.5,109.5,73.0,39.5,107.0,66.0,108.9,71.0,98.2,46.5,117.55000000000001,87.0,106.0,21.0,123000.0,0.0,2.0
229602,2296.0,3.0,1.0,4.0,2001.0,114.0,2010.0,82.0,49.0,47.0,111.0,77.0,43.0,103.0,59.0,108.8,73.0,100.3,50.0,112.4,79.0,115.0,21.0,136000.0,0.0,2.0
229901,2299.0,3.0,2.0,11.0,1985.0,135.0,1994.0,99.0,61.333333333333336,50.0,123.0,90.0,56.0,127.33333333333333,94.0,118.2,88.66666666666667,115.33333333333333,83.33333333333333,114.56666666666666,81.0,104.66666666666667,99.0,,0.0,3.0
229902,2299.0,3.0,1.0,4.0,1987.0,121.5,1995.0,92.0,48.5,38.0,111.5,76.0,38.0,109.0,72.0,110.05,72.0,110.75,74.5,104.8,60.5,99.5,99.0,,0.0,3.0
229903,2299.0,3.0,1.0,4.0,1987.0,113.5,1995.0,80.5,41.0,50.5,125.5,92.0,44.5,117.5,82.5,110.0,73.5,114.2,82.5,100.25,50.0,99.5,99.0,,0.0,3.0
230101,2301.0,3.0,2.0,6.0,1985.0,109.66666666666667,1994.0,71.33333333333333,42.666666666666664,49.666666666666664,117.66666666666667,87.33333333333333,45.0,111.33333333333333,76.33333333333333,122.13333333333333,91.66666666666667,118.96666666666665,89.0,117.83333333333333,88.0,109.0,86.0,77500.0,0.0,2.0
230102,2301.0,3.0,2.0,7.0,1987.0,110.75,1997.0,73.75,47.5,41.0,103.75,59.25,41.0,100.75,52.75,117.825,87.25,120.45,91.25,107.825,67.0,118.75,86.0,86475.0,0.0,2.0
230801,2308.0,3.0,2.0,8.0,1979.0,100.33333333333333,1990.0,50.333333333333336,46.333333333333336,53.0,111.0,74.0,59.666666666666664,114.66666666666667,84.0,106.3,64.33333333333333,108.96666666666665,73.33333333333333,101.13333333333333,54.666666666666664,132.33333333333334,29.0,20166.666666666668,0.0,2.0
230802,2308.0,3.0,1.0,12.0,1986.0,101.0,1997.0,52.5,46.5,49.5,107.0,67.5,55.0,111.5,77.5,104.4,61.0,99.1,48.0,108.6,71.0,125.0,29.0,37900.0,0.0,2.0
231101,2311.0,3.0,1.0,8.0,1976.0,92.33333333333333,1990.0,30.333333333333332,48.666666666666664,50.666666666666664,92.0,32.333333333333336,52.666666666666664,92.0,31.0,85.2,23.666666666666668,97.33333333333333,43.0,76.76666666666667,16.0,169.0,39.0,35000.0,0.0,3.0
231102,2311.0,3.0,1.0,3.0,1981.0,93.0,1992.0,33.333333333333336,42.0,34.0,79.66666666666667,13.333333333333334,36.0,82.0,16.666666666666668,67.0,2.6666666666666665,86.86666666666667,21.0,56.300000000000004,0.3333333333333333,136.66666666666666,39.0,7228.0,0.0,3.0
231103,2311.0,3.0,1.0,6.0,1987.0,102.5,1995.0,55.5,32.0,29.0,97.5,45.0,30.0,97.5,45.0,83.5,15.0,89.15,25.0,81.75,12.0,96.5,39.0,7228.0,0.0,3.0
231301,2313.0,3.0,2.0,3.0,1980.0,109.0,1987.0,73.0,30.5,36.5,119.0,86.0,36.0,115.0,81.0,110.0,71.5,112.75,79.0,102.80000000000001,56.5,85.5,48.0,51500.0,0.0,1.0
231302,2313.0,3.0,2.0,1.0,1991.0,94.0,2002.0,40.0,45.0,47.0,98.5,47.0,57.5,109.5,71.5,109.80000000000001,73.5,100.5,51.5,117.05,87.0,139.0,48.0,41500.0,0.0,2.0
